metric_group,item,count,proportion
headline,total_operation_families,26,
headline,total_software_tool_entries,159,
software,Blender,26,
software,Cinema 4D,26,
software,Houdini,26,
software,Maya,23,
software,3ds Max,21,
software,Nomad Sculpt,19,
software,ZBrush,18,
operation_family,基础体创建,7,
operation_family,细分 / 平滑 / 重构网格,7,
operation_family,投射 / 贴合 / 收缩包裹,7,
operation_family,扫掠 / 放样 / 蒙皮,7,
operation_family,晶格 / 软选择变形,7,
operation_family,弯曲 / 扭转 / 锥化,7,
operation_family,阵列 / 重复复制,7,
operation_family,镜像 / 对称,7,
operation_family,曲线 / 样条绘制,7,
operation_family,布尔运算,7,
operation_family,实体化 /蒙皮等,7,
operation_family,吸附 / 对齐 / 约束,7,
operation_family,组件变换,7,
operation_family,车削 / 旋转成形,6,
operation_family,雕刻抓取 / 移动,6,
operation_family,遮罩 / 隐藏 / 保护区域 / 权重绘制,6,
operation_family,合并 / 焊接 / 溶解,5,
operation_family,桥接 / 补面 / 封口,5,
operation_family,刀切 / 切片 / 平面切割,5,
operation_family,环切 / 连接边,5,
operation_family,倒角 / 切角,5,
operation_family,内插 / 内缩,5,
operation_family,挤出,5,
operation_family,雕刻黏土 / 堆体积,5,
operation_family,雕刻平滑 / 压平 / 放松,5,
operation_family,雕刻膨胀 / 收紧 / 刻痕,5,
system_decision,Semanticize,63,0.39622641509433965
system_decision,Preserve,43,0.27044025157232704
system_decision,Hybrid,34,0.2138364779874214
system_decision,Delegate,19,0.11949685534591195
frontend_primitive,None,82,
frontend_primitive,Drag,43,
frontend_primitive,Add,22,
frontend_primitive,Smooth,12,
